#Master Train File - reduced_image_size
#Biplane, Eagle, Hang glider,

## Biplane - Virtual World
#windows platform, SL02310 Platform, SLO2319 Platform
C:/Users/daleas/Documents/AI_Learning_Images/, /mnt/data/AI_Learning_Images/, /mnt/data/Ashley_ML/AI_Learning_Images/

#image,image,top, right, bottom, left,label
plane/plane_320/beauty/biPlane_Camera01_beauty.001.png,plane/plane_320/depth/biPlane_Camera01_zDepth.001.png,{255,46,10,5,plane}
plane/plane_320/beauty/BiPlaneCamera02_beauty.001.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.001.png,{22,182,81,53,plane}
plane/plane_320/beauty/BiPlaneCamera03beauty.001.png,plane/plane_320/depth/BiPlaneCamera03zDepth.001.png,{50,101,61,47,plane}
plane/plane_320/beauty/BiPlaneCamera04_beauty.001.png,plane/plane_320/depth/BiPlaneCamera04_zDepth.001.png,{158,157,48,15,plane}
plane/plane_320/beauty/BiPlaneCamera05_beauty.001.png,plane/plane_320/depth/BiPlaneCamera05_zDepth.001.png,{142,229,48,40,plane}
plane/plane_320/beauty/BiPlaneCamera06_beauty.001.png,plane/plane_320/depth/BiPlaneCamera06_zDepth.001.png,{168,192,141,103,plane}
plane/plane_320/beauty/BiPlaneCamera07_beauty.001.png,plane/plane_320/depth/BiPlaneCamera07_zDepth.001.png,{197,223,99,41,plane}
plane/plane_320/beauty/BiPlaneCamera08_beauty.001.png,plane/plane_320/depth/BiPlaneCamera08_zDepth.001.png,{119,116,20,11,plane}
plane/plane_320/beauty/BiPlaneCamera09_beauty.001.png,plane/plane_320/depth/BiPlaneCamera09_zDepth.001.png,{11,66,66,24,plane}
plane/plane_320/beauty/BiPlaneCamera10_beauty.001.png,plane/plane_320/depth/BiPlaneCamera10_zDepth.001.png,{245,49,46,26,plane}
plane/plane_320/beauty/BiPlaneCamera11_beauty.001.png,plane/plane_320/depth/BiPlaneCamera11_zDepth.001.png,{224,141,22,13,plane}
plane/plane_320/beauty/BiPlaneCamera12_beauty.001.png,plane/plane_320/depth/BiPlaneCamera12_zDepth.001.png,{115,110,12,7,plane}
