#Master Train File - reduced_image_size
#Biplane, Eagle, Hang glider,

## Biplane - Virtual World
#windows platform, SL02310 Platform, SLO2319 Platform
C:/Users/daleas/Documents/AI_Learning_Images/, /mnt/data/AI_Learning_Images/, /mnt/data/Ashley_ML/AI_Learning_Images/

#image,image,top, right, bottom, left,label
plane/plane_320/beauty/biPlane_Camera01_beauty.001.png,plane/plane_320/depth/biPlane_Camera01_zDepth.001.png,255,46,10,5,plane
plane/plane_320/beauty/biPlane_Camera01_beauty.002.png,plane/plane_320/depth/biPlane_Camera01_zDepth.002.png,252,46,10,5,plane
plane/plane_320/beauty/biPlane_Camera01_beauty.003.png,plane/plane_320/depth/biPlane_Camera01_zDepth.003.png,250,46,10,5,plane
plane/plane_320/beauty/biPlane_Camera01_beauty.005.png,plane/plane_320/depth/biPlane_Camera01_zDepth.005.png,246,46,10,5,plane
plane/plane_320/beauty/biPlane_Camera01_beauty.006.png,plane/plane_320/depth/biPlane_Camera01_zDepth.006.png,243,46,10,6,plane
plane/plane_320/beauty/biPlane_Camera01_beauty.007.png,plane/plane_320/depth/biPlane_Camera01_zDepth.007.png,241,46,10,5,plane
plane/plane_320/beauty/biPlane_Camera01_beauty.008.png,plane/plane_320/depth/biPlane_Camera01_zDepth.008.png,238,46,10,6,plane
plane/plane_320/beauty/biPlane_Camera01_beauty.010.png,plane/plane_320/depth/biPlane_Camera01_zDepth.010.png,231,46,10,6,plane
plane/plane_320/beauty/BiPlaneCamera02_beauty.001.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.001.png,22,182,81,53,plane
plane/plane_320/beauty/BiPlaneCamera02_beauty.002.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.002.png,48,181,77,50,plane
plane/plane_320/beauty/BiPlaneCamera02_beauty.003.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.003.png,72,179,72,48,plane
plane/plane_320/beauty/BiPlaneCamera02_beauty.005.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.005.png,115,176,68,43,plane
plane/plane_320/beauty/BiPlaneCamera02_beauty.006.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.006.png,135,174,67,41,plane
plane/plane_320/beauty/BiPlaneCamera02_beauty.007.png,plane/plane_320/depth/BiPlaneCamera02_zDepth.007.png,153,173,65,40,plane
